name,iso_country,municipality,iata_code
Stuart Island Airpark,US,Stuart Island,SSW
Fort Bragg Airport,US,Fort Bragg,FOB
Port of Poulsbo Marina Moorage Seaplane Base,US,Poulsbo,PUL
Century City Heliport,US,Los Angeles,CCD
Meyers Chuck Seaplane Base,US,Meyers Chuck,WMK
Maxson Airfield,US,Alexandria Bay,AXB
Reese Airpark,US,Lubbock,REE
Waldron Airstrip,US,East Sound,WDN
Whale Pass Seaplane Float Harbor Facility,US,Whale Pass,WWP
Chuathbaluk Airport,US,Chuathbaluk,CHU
Ugashik Airport,US,Ugashik,UGS
Marlboro Airport,US,Marlboro,MXG
Philadelphia Seaplane Base,US,Essington,PSQ
Levelock Airport,US,Levelock,KLL
Saginaw Seaplane Base,US,Saginaw Bay,SGW
Tuntutuliak Airport,US,Tuntutuliak,WTL
Twin Hills Airport,US,Twin Hills,TWA
Chignik Lake Airport,US,Chignik Lake,KCQ
Adado Airport,SO,Adado,AAD
Atkamba Airport,PG,Atkamba Mission,ABP
Abau Airport,PG,Abau,ABW
